contrast,distinctiveness,realism,fidelity,compactness
0,0.037510177574441625,0.058833377100840335,0.16093749999999998,0
0,-0.009847772565136439,-0.00408350840336135,-0.013281250000000017,0
0,0.36181180210918124,0.0648797487745098,0.5410937499999999,1.0
0,0.19060488717431762,0.27562074924666835,0.8695312500000002,1.0
0,0.20018812357837035,0.07774212549603174,0.27109375,0.75
0,0.1255520122518612,0.05633585164835166,0.7722916666666668,0.5
0,0.18786792739350708,0.025801113714716654,0.6824479166666667,0
0,0.05133463541666663,0.0820846579635642,0.3885416666666667,0.75
0,0.29510587908395375,0.31287389987624614,0.9104166666666665,0
0,0.3248397435897433,0.019626991421568627,0.6423437500000001,0
0.14348958333333334,0.1833574848790321,0.22614272464202326,0.6681770833333331,0
0,0.06168959044148052,0.08008451788311016,0.1030729166666667,0
0,0.05059191480562443,0.0232001342203548,0.19505208333333335,0
0,0.006924143145161277,0.032821121637757675,0.5500520833333333,1.0
0.06380208333333331,0.1139908531069066,0.19848488954876814,0.9781249999999997,0
0,0.17909421202956985,0.21763083912785197,0.7523437499999999,0
0,0.10689046022022335,0.08886222718253965,0.9323437500000001,0
0,0.04832861610835398,0.07041186951754386,0.3330729166666666,1.0
0,0.04455556309449951,0.08889049930869786,0.19609375000000004,1.0
0,0.10035556891025645,0.19927369365214032,0.7385416666666664,1.0
0.4692708333333333,0.12010143649193557,0.09494740191116925,0.40916666666666657,0
0.001822916666666662,0.017603568936104246,0.11549097352756889,0.1046875,0
0,0.01213255725289496,0.079382768732493,0.2127604166666667,1.0
0,0.10106848376757645,0.05972673491745183,1.0,0
0,0.17401132133995056,0.08205366357069142,0.42500000000000004,0
0,0.11995967741935482,-0.007778445512820517,0.359375,1.0
0.39375000000000004,0.04920227202233251,0.06717053167420815,0.25750000000000006,0.5
0,0.15029078784119096,0.31836941347051634,0.9624999999999996,0
0,0.22007793114143917,0.14629814425770304,0.8937499999999998,0
0,0.15863446029776665,0.0562068721719457,0.8187500000000001,0
0,0.14162724875930527,0.04023618538324421,0.209375,0
0.6062500000000001,0.3970320254342433,0.14644971289030886,0.12000000000000005,0
0,0.01694226892059558,0.005438112745098039,0.084375,0
0.21874999999999994,0.8394540942928035,0.5350715218304227,0.5012500000000001,0
0,-0.06376686569478907,0.020120614035087712,0.037499999999999985,0
0,0.12211441532258065,0.10040521978021977,0.35312499999999997,0
0,0.03518629807692308,0.09237525632262474,0.12499999999999997,0.75
0,0.2110082583746899,0.18897586997625695,0.9031249999999995,0
0.024999999999999988,0.3402993176178659,0.1399978901817137,0.8350000000000001,0.25
0,0.09048639112903226,0.025558035714285717,0.11875,1.0
0,0.33220766129032236,0.18474160678764262,0.8012500000000001,0
0,0.16119339330024812,0.07581562432665373,0.9575000000000002,0
0,0.06406637717121591,0.13229281135531135,0.2975,1.0
0.40937499999999993,0.2624273030397021,0.16015625,-0.059375000000000004,0
0,0.04227691726116626,0.048417038690476186,0.2125,0
0.08046874999999999,0.4312996762562036,0.24463639113939029,0.6790625000000001,0
0,0.12548682731079408,0.13872817959420608,0.83125,0
0,0.1781184572735732,0.15745619043570375,0.63515625,1.0
0,0.1490387038616625,0.055280032467532464,0.3125,1.0
0,0.026079792183622923,0.00984375,0.028906249999999998,0
0,0.010138802729528523,0.02150735294117647,0.0421875,0
0,0.3899949596774195,0.31454862558214924,0.8406249999999998,0.25
0.3765625,0.07170246588089321,0.03753790274966262,0.14671875,0.75
0,0.018065194633995117,0.0812298768939394,0.34140625,1.0
0,0.05136646053039704,0.018078497023809523,0.103125,0
0,0.6529219331575683,0.3799608230338203,0.8804687499999999,0
0,0.07027542455024804,0.07985868566176471,0.32265625000000003,1.0
0,0.02900996433002483,0.05738576680672268,0.57609375,1.0
0.12656249999999997,0.2724161077078164,0.23649379727475817,0.67046875,0
0,0.028860935561414478,0.02633928571428571,0.17578124999999997,0
0,0.11948860111662528,0.03723557692307693,0.33984374999999994,0
0.13671874999999997,0.32686855420285366,0.24901728383200908,0.9726562500000004,0
0.7140625,0.3447357707816378,0.353750720325774,0.19359374999999995,0.25
0.09765625000000001,0.2126625988678661,0.1429571516106443,0.7734375000000002,0
